id;hour;date;month;datetime;timezone;source;destination;cab_type;product_id;name;price;distance 
154495260789;9;16;12;'2018-12-16 09:30:07';America/New_York;'Haymarket Square';'North Station';Lyft;lyft_line;Shared;5.0;44
1543284023677;2;27;11;'2018-11-27 02:00:23';America/New_York;'Haymarket Square';'North Station';Lyft;lyft_premier;Lux;11.0;44
1543366822198;1;28;11;'2018-11-28 01:00:22';America/New_York;'Haymarket Square';'North Station';Lyft;lyft;Lyft;7.0;44
15435535827490000;4;30;11;'2018-11-30 04:53:02';America/New_York;'Haymarket Square';'North Station';Lyft;lyft_luxsuv;'Lux Black XL';26.0;44
15434633602230000;3;29;11;'2018-11-29 03:49:20';America/New_York;'Haymarket Square';'North Station';Lyft;lyft_plus;'Lyft XL';9.0;44
15450711121380000;18;17;12;'2018-12-17 18:25:12';America/New_York;'Haymarket Square';'North Station';Lyft;lyft_lux;'Lux Black';16.5;44
15432085802;5;26;11;'2018-11-26 05:03:00';America/New_York;'Back Bay';'Northeastern University';Lyft;lyft_plus;'Lyft XL';10.5;108
1543780384677;19;2;12;'2018-12-02 19:53:04';America/New_York;'Back Bay';'Northeastern University';Lyft;lyft_lux;'Lux Black';16.5;108
1543818482645;6;3;12;'2018-12-03 06:28:02';America/New_York;'Back Bay';'Northeastern University';Lyft;lyft_line;Shared;3.0;108
15433155222490000;10;27;11;'2018-11-27 10:45:22';America/New_York;'Back Bay';'Northeastern University';Lyft;lyft_luxsuv;'Lux Black XL';27.5;108
15435943838820000;16;30;11;'2018-11-30 16:13:03';America/New_York;'Back Bay';'Northeastern University';Lyft;lyft_premier;Lux;13.5;108
15434329877780000;19;28;11;'2018-11-28 19:23:07';America/New_York;'Back Bay';'Northeastern University';Lyft;lyft;Lyft;7.0;108
1543615981179;22;30;11;'2018-11-30 22:13:01';America/New_York;'North End';'West End';Uber;6f72dfc5-27f1-42e8-84db-ccc7a75f6969;UberXL;12.0;111
1544698211014;10;13;12;'2018-12-13 10:50:11';America/New_York;'North End';'West End';Uber;6c84fd89-3f11-4782-9b50-97c468b19529;Black;16.0;111
1544728503935;19;13;12;'2018-12-13 19:15:03';America/New_York;'North End';'West End';Uber;55c66225-fbe7-4fd5-9072-eab1ece5e23e;UberX;7.5;111
154500451143;23;16;12;'2018-12-16 23:55:11';America/New_York;'North End';'West End';Uber;9a0e7b09-b92b-4c41-9779-2ad22b4d779d;WAV;7.5;111
1544748007961;0;14;12;'2018-12-14 00:40:07';America/New_York;'North End';'West End';Uber;6d318bcc-22a3-4af6-bddd-b409bfce1546;'Black SUV';26.0;111
1543519080802;19;29;11;'2018-11-29 19:18:00';America/New_York;'North End';'West End';Uber;997acbb5-e102-41e1-b155-9df7de0a73f2;UberPool;5.5;111
1543673584211;14;1;12;'2018-12-01 14:13:04';America/New_York;'North End';'West End';Uber;8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a;Taxi;?;111
1544940911553;6;16;12;'2018-12-16 06:15:11';America/New_York;'North Station';'Haymarket Square';Lyft;lyft_plus;'Lyft XL';11.0;72
15433463025410000;19;27;11;'2018-11-27 19:18:22';America/New_York;'North Station';'Haymarket Square';Lyft;lyft_lux;'Lux Black';16.5;72
1545132905654;11;18;12;'2018-12-18 11:35:05';America/New_York;'North Station';'Haymarket Square';Lyft;lyft;Lyft;7.0;72
1543544884042;2;30;11;'2018-11-30 02:28:04';America/New_York;'North Station';'Haymarket Square';Lyft;lyft_line;Shared;3.5;72
15449784064630000;16;16;12;'2018-12-16 16:40:06';America/New_York;'North Station';'Haymarket Square';Lyft;lyft_luxsuv;'Lux Black XL';26.0;72
15432183717980000;7;26;11;'2018-11-26 07:46:11';America/New_York;'North Station';'Haymarket Square';Lyft;lyft_premier;Lux;13.5;72
1545079209832;20;17;12;'2018-12-17 20:40:09';America/New_York;'Beacon Hill';'South Station';Uber;9a0e7b09-b92b-4c41-9779-2ad22b4d779d;WAV;8.5;248
15449316137780000;3;16;12;'2018-12-16 03:40:13';America/New_York;'Beacon Hill';'South Station';Uber;6f72dfc5-27f1-42e8-84db-ccc7a75f6969;UberXL;15.0;248
1543324882052;13;27;11;'2018-11-27 13:21:22';America/New_York;'Beacon Hill';'South Station';Uber;6c84fd89-3f11-4782-9b50-97c468b19529;Black;20.5;248
15446976115310000;10;13;12;'2018-12-13 10:40:11';America/New_York;'Beacon Hill';'South Station';Uber;55c66225-fbe7-4fd5-9072-eab1ece5e23e;UberX;8.5;248
1545085512519;22;17;12;'2018-12-17 22:25:12';America/New_York;'Beacon Hill';'South Station';Uber;997acbb5-e102-41e1-b155-9df7de0a73f2;UberPool;7.0;248
15448179081180000;20;14;12;'2018-12-14 20:05:08';America/New_York;'Beacon Hill';'South Station';Uber;6d318bcc-22a3-4af6-bddd-b409bfce1546;'Black SUV';27.5;248
15437947763180000;23;2;12;'2018-12-02 23:52:56';America/New_York;'Beacon Hill';'South Station';Uber;8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a;Taxi;?;248
1543289422292;3;27;11;'2018-11-27 03:30:22';America/New_York;'North Station';'Northeastern University';Lyft;lyft_line;Shared;3.5;324
15437749874990000;18;2;12;'2018-12-02 18:23:07';America/New_York;'North Station';'Northeastern University';Lyft;lyft;Lyft;11.0;324
15448167055980000;19;14;12;'2018-12-14 19:45:05';America/New_York;'North Station';'Northeastern University';Lyft;lyft_premier;Lux;19.5;324
1543743182105;9;2;12;'2018-12-02 09:33:02';America/New_York;'North Station';'Northeastern University';Lyft;lyft_lux;'Lux Black';26.0;324
